Individual,1,2,3,4,5,6,7,colony,treatment
LG,600,600,600,600,600,600,600,BR13-3,allshy
DG,600,600,600,600,600,600,600,BR13-3,allshy
B,600,600,600,600,600,600,600,BR13-3,allshy
V,600,600,600,600,600,445,600,BR13-3,allshy
P,600,600,600,600,600,600,448,BR13-3,allshy
R,600,600,600,600,600,600,149,BR13-3,allshy
O,600,600,600,40,600,238,306,BR13-3,allshy
LOB,600,600,600,600,600,600,600,BR13-3,allshy
W,600,600,600,600,600,600,85,BR13-4,allshy
YV,600,600,600,,,,,BR13-4,allshy
LG,600,600,600,359,600,198,270,BR13-4,allshy
DG,600,600,600,600,600,600,600,BR13-4,allshy
B,600,600,600,600,600,,,BR13-4,allshy
V,600,600,600,,,,,BR13-4,allshy
P,600,600,600,600,459,600,600,BR13-4,allshy
R,600,600,600,600,600,600,600,BR13-4,allshy
O,600,600,600,600,314,171,348,BR13-4,allshy
LOB,600,600,600,600,600,600,600,BR13-4,allshy
W,4,600,600,600,59,600,507,BR13-5,allbold
YV,61,600,262,,,,,BR13-5,allbold
LG,39,600,188,249,600,600,600,BR13-5,allbold
DG,30,600,600,600,600,600,600,BR13-5,allbold
B,34,35,76,600,45,558,136,BR13-5,allbold
V,11,600,600,48,600,600,600,BR13-5,allbold
P,155,600,600,600,600,600,600,BR13-5,allbold
R,130,600,600,600,600,600,,BR13-5,allbold
O,101,449,90,183,53,292,11,BR13-5,allbold
LOB,95,600,600,600,600,600,600,BR13-5,allbold
W,48,600,600,600,600,600,600,BR13-6,keystone
YV,600,376,600,600,29,600,16,BR13-6,keystone
LG,600,433,600,600,600,600,600,BR13-6,keystone
DG,600,600,600,600,600,600,600,BR13-6,keystone
B,600,600,600,600,600,600,600,BR13-6,keystone
V,600,600,600,600,600,600,600,BR13-6,keystone
P,600,600,600,600,600,,,BR13-6,keystone
R,600,600,600,600,600,600,410,BR13-6,keystone
O,600,600,600,270,350,600,83,BR13-6,keystone
LOB,600,600,600,175,600,600,600,BR13-6,keystone
W,426,600,600,600,600,600,,BR13-7,allshy
YV,531,600,600,600,600,600,600,BR13-7,allshy
LG,600,600,437,600,600,340,600,BR13-7,allshy
DG,600,600,600,600,600,,,BR13-7,allshy
B,600,600,600,600,,,,BR13-7,allshy
V,600,600,600,600,156,600,,BR13-7,allshy
P,600,600,600,186,600,600,600,BR13-7,allshy
R,600,600,600,600,600,600,508,BR13-7,allshy
O,600,600,600,,,,,BR13-7,allshy
LOB,600,600,600,600,600,600,,BR13-7,allshy
WB,526,600,600,190,600,600,600,BR13-8,allshy
YV,468,600,600,600,13,600,600,BR13-8,allshy
LG,600,600,600,38,600,600,226,BR13-8,allshy
DG,600,600,600,600,600,600,600,BR13-8,allshy
B,600,352,600,600,600,600,600,BR13-8,allshy
V,600,600,600,600,600,,,BR13-8,allshy
P,600,600,600,600,600,600,86,BR13-8,allshy
R,600,600,600,600,600,,,BR13-8,allshy
O,600,600,600,,,,,BR13-8,allshy
LOB,600,600,600,30,600,600,600,BR13-8,allshy
OLG,600,600,600,600,48,600,348,BR13-8,allshy
W,94,600,15,600,600,600,600,BR13-9,allbold
YV,54,600,600,600,600,600,600,BR13-9,allbold
LG,157,600,63,600,291,,,BR13-9,allbold
DG,36,600,600,600,600,300,161,BR13-9,allbold
B,68,600,24,473,600,600,400,BR13-9,allbold
V,85,600,116,600,600,600,600,BR13-9,allbold
P,52,600,600,600,270,600,600,BR13-9,allbold
R,146,600,600,,,,,BR13-9,allbold
O,34,600,600,600,600,600,251,BR13-9,allbold
LOB,57,600,600,600,600,600,600,BR13-9,allbold
W,600,600,600,409,28,600,,BR3-1,allshy
YV,600,600,600,600,600,47,220,BR3-1,allshy
LG,600,600,600,600,600,600,318,BR3-1,allshy
DG,600,600,600,600,600,600,600,BR3-1,allshy
B,600,600,600,600,600,600,,BR3-1,allshy
V,600,600,600,600,600,28,,BR3-1,allshy
P,600,600,600,600,322,600,600,BR3-1,allshy
R,600,600,600,600,600,,,BR3-1,allshy
O,600,600,600,600,600,600,600,BR3-1,allshy
LOB,600,600,600,120,600,54,,BR3-1,allshy
W,36,600,600,82,17,600,117,BR3-2,keystone
YV,600,600,600,107,180,600,600,BR3-2,keystone
LG,600,600,600,11,600,600,261,BR3-2,keystone
DG,600,600,600,45,600,600,600,BR3-2,keystone
B,600,600,600,600,600,600,600,BR3-2,keystone
V,600,600,600,600,600,419,600,BR3-2,keystone
P,600,600,600,600,600,600,600,BR3-2,keystone
R,600,600,600,600,600,600,600,BR3-2,keystone
O,600,33,,,,,,BR3-2,keystone
LOB,600,600,600,184,417,58,600,BR3-2,keystone
W,20,600,43,600,600,600,600,BR3-3,keystone
YV,600,600,600,155,600,,,BR3-3,keystone
LG,600,10,600,600,600,600,600,BR3-3,keystone
DG,600,600,600,600,600,,,BR3-3,keystone
B,600,600,600,129,600,600,,BR3-3,keystone
V,600,42,600,600,55,600,600,BR3-3,keystone
P,600,600,600,600,600,,,BR3-3,keystone
R,600,104,600,474,600,545,256,BR3-3,keystone
O,600,600,600,600,600,600,600,BR3-3,keystone
LOBB,600,4,600,600,600,600,600,BR3-3,keystone
W,13,600,600,600,600,425,600,BR3-4,keystone
YV,600,600,600,600,600,600,,BR3-4,keystone
LG,600,600,600,600,82,,,BR3-4,keystone
DG,600,600,600,600,600,246,222,BR3-4,keystone
B,600,600,600,600,600,600,,BR3-4,keystone
V,600,600,600,76,600,40,211,BR3-4,keystone
P,600,600,600,600,600,600,,BR3-4,keystone
R,600,600,600,600,23,73,128,BR3-4,keystone
O,600,600,600,343,600,502,61,BR3-4,keystone
LOB,600,600,176,173,205,,,BR3-4,keystone
W,600,28,600,600,600,,,BR3-5,allshy
YV,600,600,600,294,600,600,,BR3-5,allshy
LG,600,600,600,,,,,BR3-5,allshy
DG,600,600,600,600,600,600,600,BR3-5,allshy
B,600,600,600,600,600,600,600,BR3-5,allshy
V,600,600,600,65,600,600,600,BR3-5,allshy
P,600,600,107,375,155,158,,BR3-5,allshy
R,600,600,600,151,44,,,BR3-5,allshy
O,600,600,600,600,600,,,BR3-5,allshy
LO,600,600,600,600,600,,,BR3-5,allshy
