SerialNumber,ColonyID,Source,Batch,Treatment,Window,Situation,Trial,Latency,Number,Fused
274,Up7c9,Up7,2,Tree,Window,Trial,8,21.41,1,1
283,Up7c9,Up7,2,Tree,Window,TrialWindA,9,29.13,10,1
297,Up7c9,Up7,2,Tree,Window,TrialWindB,10,41.94,3,1
316,Up7c9,Up7,2,Tree,Window,TrialWindA,11,13.28,2,1
330,Up7c9,Up7,2,Tree,Window,TrialWindB,12,7.06,4,1
4,Up8c1,Up8,3,Tree,Window,Cup,1,180,0,1
344,Up8c1,Up8,3,Tree,Window,Cup,2,8.19,2,1
360,Up8c1,Up8,3,Tree,Window,Pre,3,NA,NA,1
374,Up8c1,Up8,3,Tree,Window,Pre,4,NA,NA,1
388,Up8c1,Up8,3,Tree,Window,Trial,5,NA,NA,1
3,Up8c2,Up8,2,Tree,Window,Cup,1,180,0,0
199,Up8c2,Up8,2,Tree,Window,Cup,2,6.16,1,0
208,Up8c2,Up8,2,Tree,Window,Pre,3,8.62,4,0
223,Up8c2,Up8,2,Tree,Window,Pre,4,5.06,2,0
236,Up8c2,Up8,2,Tree,Window,Trial,5,9.29,2,0
251,Up8c2,Up8,2,Tree,Window,Trial,6,7.75,4,0
264,Up8c2,Up8,2,Tree,Window,Trial,7,16.16,5,0
272,Up8c2,Up8,2,Tree,Window,Trial,8,13.5,8,0
285,Up8c2,Up8,2,Tree,Window,TrialWindA,9,8.97,7,0
299,Up8c2,Up8,2,Tree,Window,TrialWindB,10,10.25,1,0
314,Up8c2,Up8,2,Tree,Window,TrialWindA,11,6.12,5,0
328,Up8c2,Up8,2,Tree,Window,TrialWindB,12,4.69,2,0
1,Up8c3,Up8,2,Fence,Window,Cup,1,180,0,0
198,Up8c3,Up8,2,Fence,Window,Cup,2,69.53,6,0
202,Up8c3,Up8,2,Fence,Window,Pre,3,10.68,5,0
229,Up8c3,Up8,2,Fence,Window,Pre,4,5.59,4,0
230,Up8c3,Up8,2,Fence,Window,Trial,5,4.66,4,0
257,Up8c3,Up8,2,Fence,Window,Trial,6,2.03,6,0
258,Up8c3,Up8,2,Fence,Window,Trial,7,5.84,7,0
278,Up8c3,Up8,2,Fence,Window,Trial,8,3.03,3,0
279,Up8c3,Up8,2,Fence,Window,TrialWindA,9,3.25,3,0
293,Up8c3,Up8,2,Fence,Window,TrialWindB,10,3.94,4,0
320,Up8c3,Up8,2,Fence,Window,TrialWindA,11,2.72,6,0
334,Up8c3,Up8,2,Fence,Window,TrialWindB,12,2.88,4,0
2,Up8c4,Up8,3,Fence,No,Cup,1,180,0,0
343,Up8c4,Up8,3,Fence,No,Cup,2,12.22,3,0
359,Up8c4,Up8,3,Fence,No,Pre,3,4.85,10,0
373,Up8c4,Up8,3,Fence,No,Pre,4,2.53,6,0
386,Up8c4,Up8,3,Fence,No,Trial,5,13.19,5,0
399,Up8c4,Up8,3,Fence,No,Trial,6,47.44,6,0
413,Up8c4,Up8,3,Fence,No,Trial,7,25.34,7,0
425,Up8c4,Up8,3,Fence,No,Trial,8,21.5,10,0
439,Up8c4,Up8,3,Fence,No,TrialWindA,9,5.81,5,0
452,Up8c4,Up8,3,Fence,No,TrialWindB,10,25.29,8,0
467,Up8c4,Up8,3,Fence,No,TrialWindA,11,10.88,2,0
480,Up8c4,Up8,3,Fence,No,TrialWindB,12,6.53,9,0
16,Up9c1,Up9,1,Fence,Window,Cup,1,180,0,0
45,Up9c1,Up9,1,Fence,Window,Cup,2,180,0,0
56,Up9c1,Up9,1,Fence,Window,Pre,3,180,0,0
70,Up9c1,Up9,1,Fence,Window,Pre,4,138.19,1,0
84,Up9c1,Up9,1,Fence,Window,Trial,5,83.84,3,0
99,Up9c1,Up9,1,Fence,Window,Trial,6,2.6,2,0
112,Up9c1,Up9,1,Fence,Window,Trial,7,5.44,2,0
123,Up9c1,Up9,1,Fence,Window,Trial,8,27.94,1,0
136,Up9c1,Up9,1,Fence,Window,TrialWindA,9,153.75,1,0
151,Up9c1,Up9,1,Fence,Window,TrialWindB,10,58.63,5,0
164,Up9c1,Up9,1,Fence,Window,TrialWindA,11,8,3,0
175,Up9c1,Up9,1,Fence,Window,TrialWindB,12,22.47,4,0
17,Up9c2,Up9,1,Tree,No,Cup,1,180,0,0
48,Up9c2,Up9,1,Tree,No,Cup,2,180,0,0
64,Up9c2,Up9,1,Tree,No,Pre,3,180,0,0
79,Up9c2,Up9,1,Tree,No,Pre,4,180,0,0
92,Up9c2,Up9,1,Tree,No,Trial,5,180,0,0
104,Up9c2,Up9,1,Tree,No,Trial,6,180,0,0
119,Up9c2,Up9,1,Tree,No,Trial,7,180,0,0
131,Up9c2,Up9,1,Tree,No,Trial,8,150.87,3,0
146,Up9c2,Up9,1,Tree,No,TrialWindA,9,18.41,3,0
158,Up9c2,Up9,1,Tree,No,TrialWindB,10,17.53,1,0
171,Up9c2,Up9,1,Tree,No,TrialWindA,11,53.4,1,0
184,Up9c2,Up9,1,Tree,No,TrialWindB,12,10.22,6,0
18,Up9c3,Up9,1,Tree,No,Cup,1,180,0,0
54,Up9c3,Up9,1,Tree,No,Cup,2,180,0,0
59,Up9c3,Up9,1,Tree,No,Pre,3,44.87,1,0
72,Up9c3,Up9,1,Tree,No,Pre,4,10.47,1,0
87,Up9c3,Up9,1,Tree,No,Trial,5,5.59,1,0
98,Up9c3,Up9,1,Tree,No,Trial,6,5.19,1,0
111,Up9c3,Up9,1,Tree,No,Trial,7,37.79,1,0
126,Up9c3,Up9,1,Tree,No,Trial,8,4.12,1,0
138,Up9c3,Up9,1,Tree,No,TrialWindA,9,180,0,0
150,Up9c3,Up9,1,Tree,No,TrialWindB,10,31.09,1,0
163,Up9c3,Up9,1,Tree,No,TrialWindA,11,117.41,2,0
178,Up9c3,Up9,1,Tree,No,TrialWindB,12,1.84,1,0
19,Up9c4,Up9,1,Fence,Window,Cup,1,180,0,0
50,Up9c4,Up9,1,Fence,Window,Cup,2,180,0,0
62,Up9c4,Up9,1,Fence,Window,Pre,3,180,0,0
77,Up9c4,Up9,1,Fence,Window,Pre,4,49.56,1,0
90,Up9c4,Up9,1,Fence,Window,Trial,5,180,0,0
109,Up9c4,Up9,1,Fence,Window,Trial,6,180,0,0
117,Up9c4,Up9,1,Fence,Window,Trial,7,11.1,1,0
128,Up9c4,Up9,1,Fence,Window,Trial,8,11.44,1,0
143,Up9c4,Up9,1,Fence,Window,TrialWindA,9,16.19,1,0
156,Up9c4,Up9,1,Fence,Window,TrialWindB,10,46.82,5,0
169,Up9c4,Up9,1,Fence,Window,TrialWindA,11,27.91,4,0
180,Up9c4,Up9,1,Fence,Window,TrialWindB,12,8.28,1,0
